
2023/07/30 (17:09:45) | ===> btop++ v.1.2.13
2023/07/30 (17:09:45) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/30 (20:14:48) | ===> btop++ v.1.2.13
2023/07/30 (20:14:48) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/30 (20:15:09) | ===> btop++ v.1.2.13
2023/07/30 (20:15:09) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/30 (20:16:08) | ===> btop++ v.1.2.13
2023/07/30 (20:16:08) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/30 (20:54:55) | ===> btop++ v.1.2.13
2023/07/30 (20:54:55) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/30 (21:03:31) | ===> btop++ v.1.2.13
2023/07/30 (21:03:31) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/07/31 (19:44:32) | ===> btop++ v.1.2.13
2023/07/31 (19:44:32) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/01 (07:23:16) | ===> btop++ v.1.2.13
2023/08/01 (07:23:16) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/04 (15:55:30) | ===> btop++ v.1.2.13
2023/08/04 (15:55:30) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.

2023/08/10 (09:00:03) | ===> btop++ v.1.2.13
2023/08/10 (09:00:03) | WARNING: No UTF-8 locale detected! Some symbols might not display correctly.
